700 690 1 RESULTS 0LEP 18 16 14 RESULTS 1LEP 28 24 974 54 45 2875 56 33 RESULTS 2LEP 239 36 81 78 26 14 19 18 RESULTS 2B 33 63 31 30 24 17 16
700 690 51 RESULTS 0LEP 31 29 27 RESULTS 1LEP 24 20 988 56 40 2973 79 48 RESULTS 2LEP 242 35 102 98 13 4 6 6 RESULTS 2B 35 65 30 28 26 26 23
700 690 101 RESULTS 0LEP 29 27 25 RESULTS 1LEP 30 24 974 50 37 2891 59 34 RESULTS 2LEP 224 30 77 69 29 12 22 22 RESULTS 2B 34 73 29 26 24 22 20
700 690 151 RESULTS 0LEP 33 28 26 RESULTS 1LEP 24 24 1052 55 42 2875 45 23 RESULTS 2LEP 216 34 84 77 23 10 15 11 RESULTS 2B 37 74 30 27 20 16 14
700 690 201 RESULTS 0LEP 30 26 21 RESULTS 1LEP 20 32 958 54 47 2728 60 38 RESULTS 2LEP 212 29 80 73 23 6 12 12 RESULTS 2B 36 68 30 27 24 21 18
700 690 251 RESULTS 0LEP 29 23 22 RESULTS 1LEP 24 42 1076 53 38 2832 54 30 RESULTS 2LEP 206 30 78 70 28 6 13 13 RESULTS 2B 44 81 40 32 28 22 20
700 690 301 RESULTS 0LEP 26 23 21 RESULTS 1LEP 36 48 1062 38 27 2678 49 21 RESULTS 2LEP 188 29 65 57 24 11 13 10 RESULTS 2B 29 58 18 14 10 8 8
700 690 351 RESULTS 0LEP 29 18 12 RESULTS 1LEP 26 44 946 45 28 2514 53 29 RESULTS 2LEP 210 25 69 63 15 3 6 5 RESULTS 2B 31 51 25 21 16 14 7
700 690 401 RESULTS 0LEP 25 19 14 RESULTS 1LEP 30 56 928 32 20 2325 46 23 RESULTS 2LEP 173 32 71 66 25 6 16 16 RESULTS 2B 22 55 17 11 4 3 2
700 690 451 RESULTS 0LEP 24 15 7 RESULTS 1LEP 34 100 910 28 13 2161 34 14 RESULTS 2LEP 151 24 55 48 24 9 11 9 RESULTS 2B 20 40 16 13 6 0 0
700 690 501 RESULTS 0LEP 15 8 4 RESULTS 1LEP 88 118 698 13 5 1729 22 11 RESULTS 2LEP 126 21 39 35 16 8 7 5 RESULTS 2B 21 29 10 5 1 0 0
750 740 1 RESULTS 0LEP 24 23 19 RESULTS 1LEP 20 26 920 48 33 2978 63 42 RESULTS 2LEP 229 36 79 75 25 14 21 21 RESULTS 2B 39 78 32 28 26 23 23
750 740 51 RESULTS 0LEP 25 20 19 RESULTS 1LEP 18 20 970 49 33 2988 46 25 RESULTS 2LEP 232 34 83 78 30 9 14 14 RESULTS 2B 33 76 28 24 18 17 14
750 740 101 RESULTS 0LEP 20 17 17 RESULTS 1LEP 12 26 914 52 33 2978 63 41 RESULTS 2LEP 254 30 93 89 32 17 18 18 RESULTS 2B 30 75 27 25 24 22 20
